Operational Recommendation,Temperature Recommendation,Humidity Recommendation,Battery Recommendation,Shipment Recommendation,Financial Recommendation,Quality Recommendation,Manager Recommendation,Priority Action,Recommendation Severity,Recommendation Category,Immediate Action Required,Recommendation Status,Escalation Level,Final Recommendation,Shipment ID,Container ID,Timestamp,Date,Time,Product Category,Product Name,Vehicle Type,Origin City,Destination City,Transport Mode,Latitude,Longitude,Temperature,Humidity,Battery,Shock,Vibration,Delay Hours,Sensor Status,Weather,Driver ID,Route ID,Trip Distance,Trip Duration,Fuel Consumption,Temperature Deviation,Temperature Excursion Flag,Temperature Band,Humidity Deviation,Humidity Excursion Flag,Humidity Band,Battery Health Score,Battery Status,Battery Low Flag,Shock Severity,High Shock Flag,Delay Category,Delay Flag,Journey Duration Category,Average Speed,Fuel Efficiency,Trip Efficiency,Distance Category,Vibration Severity,High Vibration Flag,Operational Status,Sensor Health Score,Weather Impact Indicator,Temperature Excursion Duration Risk,Cold Chain Compliance Flag,Spoilage Probability Indicator,Risk Indicator,Risk Category,Operational Risk Indicator,Temperature Risk Score,Humidity Risk Score,Battery Risk Score,Shock Risk Score,Vibration Risk Score,Delay Risk Score,Overall Risk Index,Risk Score,Risk Priority,Risk Level,Risk Description,Spoilage Risk,Quality Risk,Logistics Risk,Operational Risk,Financial Risk Indicator,Spoilage Risk Indicator,Estimated Quantity,Product Unit Value,Inventory Value,Spoilage Percentage,Spoiled Quantity,Estimated Loss,Financial Loss,Estimated Loss Percentage,Insurance Eligible,Insurance Claim Amount,Recovery Eligible,Recovery Amount,Net Financial Loss,Loss Category,Loss Severity,Business Impact,Profit Impact,Cost Impact,Recovery Status,Insurance Status
Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Inspect humidity control systems.,high,Humidity Issue,True,Open,L2,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,SHP-EB696FEA6EC1,CTR-5E084B2A7D,2026-07-14 06:40:06,2026-07-14,06:40:06,Bakery Products,Cake,Refrigerated Truck,Varanasi,Indore,Rail,24.329213,78.892737,-1.71,70.84,58.21,228.09,8.229,2.83,Active,Storm,DRV-F2D56A9C,RTE-48635145,1372.54,40.67,271.01,1.71,0,Safe,20.840000000000003,1,Warning,30.34999999949417,Healthy,0,2,0,Safe,0,Medium,33.748217358403046,5.064536363953121,Medium,Medium,1,0,Active,30.34999999949417,0,0.0,0,0.8440134736344466,84.4,High Risk,1,29.05,100.0,69.65,66.67,50.0,10.48,54.28,54.28,P2,High,Significant deviation from target conditions; prioritize quality checks and interventions.,High Risk,High Risk,Low Risk,High Risk,0.22,0.14,573.418,120.0,68810.16,0.14,80.27852000000001,80.27852000000001,15138.2352,0.22,True,15138.23519999978,True,15138.23519999978,0.0,Low,low,Medium,Minor,Low,Eligible,Eligible
Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.,low,Normal,False,Open,L1,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,SHP-528F5DEDCB30,CTR-A7FE49B83F,2026-06-01 11:26:06,2026-06-01,11:26:06,Fresh Vegetables,Broccoli,Reefer Trailer,Lucknow,Surat,Air,24.347504,77.427447,-3.31,50.1,75.36,60.83,4.044,2.5,Active,Heatwave,DRV-92C4DFD1,RTE-852D0F4C,1648.3,17.68,335.79,3.31,0,Safe,0.1000000000000014,0,Safe,58.93333333235111,Healthy,0,0,0,Safe,0,Short,93.2296380037766,4.908722713586144,Low,Long,0,0,Active,58.93333333235111,1,0.0,1,0.7242852749873151,72.43,Low Risk,0,56.24,0.49,41.07,0.0,0.0,9.26,21.71,21.71,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Medium Risk,Medium Risk,Low Risk,Low Risk,0.03,0.02,669.928,28.0,18757.984,0.02,13.39856,13.39856,562.73952,0.03,False,0.0,False,0.0,562.73952,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-046D0C7B17EF,CTR-B4A3FFF2F9,2026-06-29 06:06:06,2026-06-29,06:06:06,Dairy Products,Milk,Reefer Trailer,Gurugram,Kanpur,Road,26.837617,78.832971,-4.35,55.18,54.86,9.29,4.401,0.0,Active,Clear,DRV-8B59B0D3,RTE-BE5DE2EA,827.56,41.29,167.71,4.35,0,Safe,5.18,0,Safe,24.76666666625389,Healthy,0,0,0,Safe,0,Medium,20.042625332525,4.934470216415631,Low,Short,0,0,Active,24.76666666625389,0,0.0,1,0.7882151270418676,78.82,Medium Risk,0,73.91,25.58,75.23,0.0,0.0,0.0,34.88,34.88,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,High Risk,Medium Risk,Low Risk,Medium Risk,0.1,0.06,355.798,12.0,4269.576,0.06,21.34788,21.34788,426.9576,0.1,False,0.0,True,426.9575999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-8913C6DFD3AE,CTR-7C9FC903AB,2026-07-02 19:30:06,2026-07-02,19:30:06,Vaccines,BCG Vaccine,Insulated Container,Ranchi,Chennai,Road,17.934005,82.146396,-5.4,61.3,83.9,68.44,12.511,4.86,Critical,Rain,DRV-40ECC48B,RTE-B7CD3228,1036.41,38.01,194.69,5.4,1,Warning,11.299999999999995,0,Safe,73.16666666544724,Healthy,0,0,0,Warning,1,Medium,27.266771901413662,5.323385895498879,Medium,Short,2,1,Vibration Alert,58.16666666544724,1,33.33333333333333,0,0.937615380108012,93.76,High Risk,3,100.0,55.8,26.83,0.0,100.0,33.0,55.13,55.13,P2,High,Significant deviation from target conditions; prioritize quality checks and interventions.,Critical Risk,High Risk,High Risk,Medium Risk,0.22,0.14,437.37000000000006,800.0,349896.00000000006,0.14,61.231800000000014,61.231800000000014,76977.12000000001,0.22,True,76977.11999999979,True,76977.11999999979,0.0,Low,low,Medium,Minor,High,Eligible,Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-676AEA31FD0E,CTR-F34C1B9A6F,2026-06-08 23:58:06,2026-06-08,23:58:06,Fresh Vegetables,Carrot,Reefer Trailer,Durgapur,Bengaluru,Rail,18.154646,82.144557,-2.87,45.33,95.69,256.2,4.903,1.36,Active,Storm,DRV-3E50F468,RTE-99E3240D,1064.34,33.55,235.33,2.87,0,Safe,4.670000000000002,0,Safe,92.81666666511973,Healthy,0,3,1,Safe,0,Medium,31.72399403780257,4.5227552798006085,Low,Short,0,0,Shock Alert,72.81666666511973,0,33.33333333333333,1,0.8485425319858584,84.85,Medium Risk,1,48.76,23.06,7.18,100.0,0.0,5.04,33.64,33.64,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,High Risk,Low Risk,Medium Risk,0.1,0.06,445.866,14.0,6242.124,0.06,26.75196,26.75196,624.2124,0.1,False,0.0,True,624.2123999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-EDE3C4CF5BB8,CTR-47F2915DDD,2026-07-03 06:35:06,2026-07-03,06:35:06,Fresh Fruits,Apple,Reefer Trailer,Durgapur,Ranchi,Air,23.27782,86.466415,3.18,31.23,81.52,51.18,10.777,4.24,Warning,Storm,DRV-F01B90B9,RTE-69252EDF,1649.79,10.42,351.75,3.18,0,Safe,18.77,0,Safe,69.19999999884666,Healthy,0,0,0,Warning,1,Short,158.32917464891275,4.690234541564491,Low,Long,1,0,Active,69.19999999884666,0,33.33333333333333,1,0.8835783452649426,88.36,Medium Risk,1,54.03,92.68,30.8,0.0,50.0,30.7,46.27,46.27,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,High Risk,High Risk,Medium Risk,Medium Risk,0.1,0.06,666.168,18.0,11991.024,0.06,39.97008,39.97008,1199.1024,0.1,False,0.0,True,1199.1023999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-CF9DC4493718,CTR-4E6AED38D0,2026-07-12 21:10:06,2026-07-12,21:10:06,Frozen Foods,Frozen Meat,Cold Storage Container,Chandigarh,Kochi,Air,20.629064,76.677599,-0.11,50.67,86.41,2.96,4.706,11.79,Warning,Rain,DRV-06339B24,RTE-89EE8B1A,1396.6,22.78,316.3,0.11,0,Safe,0.6700000000000017,0,Safe,77.34999999871083,Healthy,0,0,0,Warning,1,Short,61.30816505437628,4.415428390754298,Low,Medium,0,0,Active,77.34999999871083,1,0.0,1,0.700024346013525,70.0,Low Risk,1,1.87,3.31,22.65,0.0,0.0,58.66,13.33,13.33,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Low Risk,Low Risk,Medium Risk,Low Risk,0.03,0.02,572.308,280.0,160246.24,0.02,11.44616,11.44616,4807.387199999999,0.03,False,0.0,False,0.0,4807.387199999999,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-0E975BA68C2B,CTR-6FABADCD70,2026-07-08 00:10:06,2026-07-08,00:10:06,Vaccines,Polio Vaccine,Refrigerated Van,Kochi,Bhopal,Rail,17.107335,76.563803,3.1,44.47,70.98,43.23,10.733,1.6,Active,Clear,DRV-E5215592,RTE-11110514,743.04,64.44,108.68,3.1,0,Safe,5.530000000000001,0,Safe,51.63333333247279,Healthy,0,0,0,Safe,0,Long,11.530726256804302,6.836952521100137,High,Short,1,0,Active,51.63333333247279,0,0.0,1,0.7575594820327213,75.76,Medium Risk,0,52.67,27.31,48.37,0.0,50.0,5.92,31.77,31.77,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,Medium Risk,0.1,0.06,335.88,950.0,319086.0,0.06,20.1528,20.1528,31908.6,0.1,False,0.0,True,31908.599999999904,9.822542779147624e-11,Low,low,Low,Minor,High,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-442161926D06,CTR-DB15694788,2026-07-04 17:34:06,2026-07-04,17:34:06,Dairy Products,Milk,Reefer Trailer,Jaipur,Bhopal,Sea,25.318133,75.898322,0.99,50.62,50.89,299.48,5.317,4.54,Warning,Storm,DRV-3CB07FBB,RTE-9BE4610E,2194.43,75.18,450.34,0.99,0,Safe,0.6199999999999974,0,Safe,18.149999999697503,Healthy,0,3,1,Warning,1,Long,29.18901303499349,4.872829417762418,Low,Long,1,0,Shock Alert,0.0,0,0.0,1,0.7811771871822321,78.12,Medium Risk,2,16.82,3.06,81.85,100.0,50.0,31.81,41.87,41.87,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Low Risk,Medium Risk,Medium Risk,Critical Risk,0.1,0.06,922.88,12.0,11074.559999999998,0.06,55.37279999999999,55.37279999999999,1107.456,0.1,False,0.0,True,1107.4559999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-532E60AFAD66,CTR-D4BF7572FD,2026-06-27 01:12:06,2026-06-27,01:12:06,Seafood,Prawns,Insulated Container,Mumbai,Chandigarh,Road,24.452829,74.250817,1.88,44.28,48.79,113.1,7.748,27.94,Warning,Rain,DRV-8000038A,RTE-56C78932,751.24,19.33,111.94,1.88,0,Safe,5.719999999999999,0,Safe,14.649999999755831,Healthy,0,1,0,Critical,1,Short,38.863942056965136,6.711095229527326,High,Short,1,0,Active,14.649999999755831,1,0.0,1,0.9316716073173988,93.17,High Risk,1,31.94,28.24,85.35,33.33,50.0,100.0,51.43,51.43,P2,High,Significant deviation from target conditions; prioritize quality checks and interventions.,Medium Risk,Medium Risk,Critical Risk,High Risk,0.22,0.14,312.09400000000005,520.0,162288.88000000003,0.14,43.69316000000001,43.69316000000001,35703.55360000001,0.22,True,35703.55359999979,True,35703.55359999979,0.0,Low,low,Medium,Minor,High,Eligible,Eligible
Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.,medium,Battery Low,False,Open,L1,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,SHP-4F1A5D125C3E,CTR-068031D56A,2026-07-06 16:39:06,2026-07-06,16:39:06,Frozen Foods,Frozen Pizza,Cold Storage Container,Nagpur,Asansol,Sea,22.911143,83.447924,1.26,51.69,8.34,34.9,6.052,3.82,Inactive,Clear,DRV-5C37E371,RTE-D73489F5,2369.06,70.02,528.25,1.26,0,Safe,1.6899999999999975,0,Safe,17.557894735918005,Critical,1,0,0,Safe,0,Long,33.834047414541075,4.484732607658335,Low,Long,1,0,Inactive,0.0,0,0.0,0,0.7764754281207051,77.65,Medium Risk,1,21.41,8.34,82.44,0.0,50.0,14.15,26.51,26.51,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Low Risk,Low Risk,Low Risk,High Risk,0.1,0.06,989.636,240.0,237512.64,0.06,59.37816,59.37816,23751.264,0.1,False,0.0,True,23751.2639999999,9.822542779147624e-11,Low,low,Low,Minor,High,Eligible,Not Eligible
Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.,medium,Battery Low,False,Open,L1,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,SHP-5EA7B41A8BEE,CTR-FACF8F501A,2026-06-10 19:58:06,2026-06-10,19:58:06,Vaccines,BCG Vaccine,Mini Reefer Truck,Ranchi,Chandigarh,Air,27.29611,80.969259,1.75,51.09,2.54,70.95,2.882,2.14,Active,Cloudy,DRV-1E60530A,RTE-CCE00FC9,951.87,1.0,127.17,1.75,0,Safe,1.0900000000000034,0,Safe,5.347368420771192,Critical,1,0,0,Safe,0,Short,951.86999904813,7.485020051840174,High,Short,0,0,Battery Degraded,5.347368420771192,0,0.0,1,0.771958526976724,77.2,Low Risk,1,29.73,5.38,94.65,0.0,0.0,7.92,23.89,23.89,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Low Risk,Low Risk,Low Risk,Medium Risk,0.03,0.02,381.34800000000007,800.0,305078.4000000001,0.02,7.626960000000001,7.626960000000001,9152.352000000004,0.03,False,0.0,False,0.0,9152.352000000004,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-AA5E9FE58A2A,CTR-F12D30CEAE,2026-06-20 21:53:06,2026-06-20,21:53:06,Meat,Chicken,Cold Storage Container,Hyderabad,Ranchi,Sea,20.030955,82.083065,-1.38,62.27,69.28,25.38,3.576,2.59,Active,Storm,DRV-5C33F66D,RTE-F93DB551,2713.0,61.07,609.95,1.38,0,Safe,12.270000000000003,0,Safe,48.799999999186674,Healthy,0,0,0,Safe,0,Long,44.424430980114224,4.44790556602271,Low,Long,0,0,Active,48.799999999186674,0,0.0,1,0.7586295676363815,75.86,Medium Risk,0,23.45,60.59,51.2,0.0,0.0,9.59,27.1,27.1,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,Medium Risk,0.1,0.06,1121.842,260.0,291678.92000000004,0.06,67.31052,67.31052,29167.892000000007,0.1,False,0.0,True,29167.89199999991,9.822542779147624e-11,Low,low,Low,Minor,High,Eligible,Not Eligible
